Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
TraverseDwarfRecursive,23.6588,4.59356,libpindwarf.so,"TraverseDwarfRecursive(Dwarf_Die_s*&, DWARFData&, int&)",[Unknown],0x5c20
strlen,0.511984,0.511984,libc-dynamic.so,strlen,[Unknown],0x3e730
strdup,0.491972,0.191991,libc-dynamic.so,strdup,[Unknown],0x3e5b0
"std::__invoke_impl<void, void (std::shared_ptr<folly::ThreadPoolExecutor::Thread>) folly::ThreadPoolExecutor::*&, folly::ThreadPoolExecutor*&, std::shared_ptr<folly::ThreadPoolExecutor::Thread>&>",35.8594,0,libBOSSVeloxEngine.so,"std::__invoke_impl<void, void (std::shared_ptr<folly::ThreadPoolExecutor::Thread>) folly::ThreadPoolExecutor::*&, folly::ThreadPoolExecutor*&, std::shared_ptr<folly::ThreadPoolExecutor::Thread>&>(std::__invoke_memfun_deref, void (std::shared_ptr<folly::ThreadPoolExecutor::Thread>) folly::ThreadPoolExecutor::*&&&, folly::ThreadPoolExecutor*&&&, std::shared_ptr<folly::ThreadPoolExecutor::Thread>&&&)",invoke.h,0x46aa1a0
start_thread,35.8594,0,libc.so.6,start_thread,pthread_create.c,0x947d0
simple_value_hashfunc,0.0319943,0.0319943,libdwarf.so,simple_value_hashfunc,[Unknown],0xbb30
simple_compare_function,0.0599987,0.0599987,libdwarf.so,simple_compare_function,[Unknown],0xbb40
read,0.0754874,0,libc-dynamic.so,read,[Unknown],0x65660
OS_Time,13.7739,1.18,libc-dynamic.so,OS_Time,[Unknown],0x7ed50
OS_SyscallIsSuccess,0.215997,0.215997,libc-dynamic.so,OS_SyscallIsSuccess,[Unknown],0x79670
OS_SyscallDo,12.9495,1.31999,libc-dynamic.so,OS_SyscallDo,[Unknown],0x794c0
OS_ReadFD,0.0754874,0,libc-dynamic.so,OS_ReadFD,[Unknown],0x7d5d0
OS_BARESYSCALL_DoCallAsmIntel64Linux,11.6296,11.6296,libc-dynamic.so,OS_BARESYSCALL_DoCallAsmIntel64Linux,[Unknown],0x80964
memset,1.0259,1.0259,libc-dynamic.so,memset,[Unknown],0x6a3b0
memmove,0.563949,0.563949,libc-dynamic.so,memmove,[Unknown],0x69e90
memcpy,0.587947,0.023998,libc-dynamic.so,memcpy,[Unknown],0x69d90
memcmp,1.81389,1.81389,libc-dynamic.so,memcmp,[Unknown],0x69ce0
main,703.717,0,Benchmarks,main,Benchmarks.cpp,0x2bd20
LoadDwarf,0.437957,0,libpindwarf.so,"LoadDwarf(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>>&)",[Unknown],0x4ee0
IterateOnCompileUnits,23.9484,0,libpindwarf.so,"IterateOnCompileUnits(DWARFData&, bool, bool, unsigned long long)",[Unknown],0x68c0
gettimeofday,15.2179,1.43402,libc-dynamic.so,gettimeofday,[Unknown],0x65260
GetSubprogramsListInImage,25.0383,0.159995,libpindwarf.so,GetSubprogramsListInImage,[Unknown],0x7e60
GetSubprogramName,7.19696,0.351939,libpindwarf.so,"GetSubprogramName(DWARFData&, int, char**, Dwarf_Die_s*)",[Unknown],0x3e00
func@0xfd8d0,0.0800025,0.0800025,libBOSSDictionaryEncoderEngine.so,func@0xfd8d0,[Unknown],0xfd8d0
func@0xfd7c0,0.0799964,0.0799964,libBOSSDictionaryEncoderEngine.so,func@0xfd7c0,[Unknown],0xfd7c0
func@0xfd390,0.119989,0.119989,libBOSSDictionaryEncoderEngine.so,func@0xfd390,[Unknown],0xfd390
func@0xfcb30,0.115998,0.115998,libBOSSDictionaryEncoderEngine.so,func@0xfcb30,[Unknown],0xfcb30
func@0xfc180,0.0879941,0.0879941,libBOSSDictionaryEncoderEngine.so,func@0xfc180,[Unknown],0xfc180
func@0xfbfc0,0.127989,0.127989,libBOSSDictionaryEncoderEngine.so,func@0xfbfc0,[Unknown],0xfbfc0
func@0xfbf10,0.0559999,0.0559999,libBOSSDictionaryEncoderEngine.so,func@0xfbf10,[Unknown],0xfbf10
func@0xfbe60,0.383999,0.383999,libBOSSDictionaryEncoderEngine.so,func@0xfbe60,[Unknown],0xfbe60
