Function,CPU Time: Total,CPU Time: Self,Module,Function (Full),Source File,Start Address
"facebook::velox::SelectivityVector::applyToSelected<facebook::velox::exec::CastExpr::applyToSelectedNoThrowLocal<facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1}>(void, facebook::velox::exec::EvalCtx&, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector>&, facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1}&&)::{lambda(facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1})#2}>",0.0579903,0,libBOSSVeloxEngine.so,"facebook::velox::SelectivityVector::applyToSelected<facebook::velox::exec::CastExpr::applyToSelectedNoThrowLocal<facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1}>(void, facebook::velox::exec::EvalCtx&, facebook::velox::SelectivityVector const&, std::shared_ptr<facebook::velox::BaseVector>&, facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1}&&)::{lambda(facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1})#2}>(facebook::velox::exec::CastExpr::applyCastPrimitives<(facebook::velox::TypeKind)4, (facebook::velox::TypeKind)3>(void, facebook::velox::SelectivityVector const&, facebook::velox::exec::EvalCtx&, facebook::velox::BaseVector const&, std::shared_ptr<facebook::velox::BaseVector>&) const::{lambda(int)#1})",SelectivityVector.h,0x434ded0
facebook::velox::ScalarType<(facebook::velox::TypeKind)0>::create,0.0120012,0.0120012,libBOSSVeloxEngine.so,facebook::velox::ScalarType<(facebook::velox::TypeKind)0>::create(void),Type.h,0x2a4bbc0
facebook::velox::RowVector::~RowVector,0.0104547,0,libBOSSVeloxEngine.so,facebook::velox::RowVector::~RowVector(void),ComplexVector.h,0x41b0020
facebook::velox::RowVector::prepareForReuse,0.0080004,0,libBOSSVeloxEngine.so,facebook::velox::RowVector::prepareForReuse(void),ComplexVector.cpp,0x453c0f0
facebook::velox::process::threadCpuNanos,0.165977,0.165977,libBOSSVeloxEngine.so,facebook::velox::process::threadCpuNanos(void),ProcessBase.cpp,0x463c080
facebook::velox::parse::parseExpr,0.01,0,libBOSSVeloxEngine.so,"facebook::velox::parse::parseExpr(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, facebook::velox::parse::ParseOptions const&)",ExpressionsParser.cpp,0x33ba060
facebook::velox::memory::MemoryPoolImpl::freeContiguous,0.00801504,0,libBOSSVeloxEngine.so,facebook::velox::memory::MemoryPoolImpl::freeContiguous(facebook::velox::memory::ContiguousAllocation&),MemoryPool.cpp,0x45ab220
facebook::velox::memory::MemoryPoolImpl::free,0.012004,0,libBOSSVeloxEngine.so,"facebook::velox::memory::MemoryPoolImpl::free(void*, long)",MemoryPool.cpp,0x45aa140
facebook::velox::memory::MemoryPoolImpl::allocate,0.0439608,0,libBOSSVeloxEngine.so,facebook::velox::memory::MemoryPoolImpl::allocate(long),MemoryPool.cpp,0x45a7f40
facebook::velox::memory::MallocAllocator::freeContiguousImpl,0.00801504,0.00801504,libBOSSVeloxEngine.so,facebook::velox::memory::MallocAllocator::freeContiguousImpl(facebook::velox::memory::ContiguousAllocation&),MallocAllocator.cpp,0x45be2a0
